City,State,MGrid
"""BUSINESS REPLY MAIL",AL,EM63om
"""CALLER BOXES",AL,EM63om
"""S S PAYMENT CTR",AL,EM63om
"""WELLS FARGO",AL,EM63om
"""ALABAMA POWER CO",AL,EM63om
"""DEPT OF TREAS BUR ACCTS",AL,EM63om
"""UNIV OF ALABAMA BIR",AL,EM63om
"""ALA GAS CORP",AL,EM63om
"""COMPASS BANK",AL,EM63om
"""STATE FARM INS",AL,EM63om
"""BLUE CROSS-SHIELD",AL,EM63om
"""BLACK",AL,EM71da
"""BLOUNTSVILLE",AL,EM64rb
"""BOAZ",AL,EM64we
"""SARDIS CITY",AL,EM64we
"""BOLIGEE",AL,EM52xs
"""MOUNT HEBRON",AL,EM52xs
"""BON AIR",AL,EM63ug
"""BON SECOUR",AL,EM60dh
"""BOOTH",AL,EM62rl
"""BOYKIN",AL,EM62ib
"""BRANTLEY",AL,EM61vn
"""BREMEN",AL,EM63mw
"""ARKADELPHIA",AL,EM63mw
"""BRENT",AL,EM62jw
"""BREWTON",AL,EM61lc
"""EAST BREWTON",AL,EM61lc
"""DAMASCUS",AL,EM61lc
"""DIXONVILLE",AL,EM61lc
"""KEEGO",AL,EM61lc
"""WALLACE",AL,EM61lc
"""BRIDGEPORT",AL,EM74dw
"""BRIERFIELD",AL,EM63mb
"""BRILLIANT",AL,EM64ca
"""BROOKLYN",AL,EM61og
"""BROOKSIDE",AL,EM63np
"""BROOKWOOD",AL,EM63if
"""BROWNSBORO",AL,EM64sq
"""BRUNDIDGE",AL,EM71cr
"""BRYANT",AL,EM74ew
"""BUCKS",AL,EM51xa
"""BUHL",AL,EM63dg
"""ROMULUS",AL,EM63dg
"""BYNUM",AL,EM73ao
"""CALERA",AL,EM63pc
"""CALVERT",AL,EM51xd
"""CAMDEN",AL,EM61ix
"""MILLERS FERRY",AL,EM61ix
"""CAMPBELL",AL,EM51xw
"""CAMP HILL",AL,EM72et
"""CAPSHAW",AL,EM64ls
"""CARBON HILL",AL,EM63fv
"""CARDIFF",AL,EM63mp
"""CARROLLTON",AL,EM53wg
"""PICKENSVILLE",AL,EM53wg
"""CASTLEBERRY",AL,EM61lg
"""CATHERINE",AL,EM62ge
"""PRAIRIE",AL,EM62ge
"""CEDAR BLUFF",AL,EM74ef
"""CENTRE",AL,EM74dd
"""CENTREVILLE",AL,EM62kw
"""EOLINE",AL,EM62kw
"""CHANCELLOR",AL,EM71be
"""BATTENS CROSSROADS",AL,EM71be
"""CHAPMAN",AL,EM61pp
"""CHATOM",AL,EM51vl
"""CHELSEA",AL,EM63qh
"""CHEROKEE",AL,EM64as
"""CHILDERSBURG",AL,EM63tg
"""COOSA PINES",AL,EM63tg
"""CHOCCOLOCCO",AL,EM73cq
"""CHUNCHULA",AL,EM50vw
"""FELLOWSHIP",AL,EM50vw
"""GEORGETOWN",AL,EM50vw
"""GULF CREST",AL,EM50vw
"""TURNERVILLE",AL,EM50vw
"""CITRONELLE",AL,EM51vc
"""CLANTON",AL,EM62qu
"""CLAY",AL,EM63rq
"""CLAYTON",AL,EM71gv
"""CLEVELAND",AL,EM63rx
"""NECTAR",AL,EM63rx
"""CLINTON",AL,EM62aw
"""CLIO",AL,EM71eq
"""BLUE SPRINGS",AL,EM71eq
"""CLOPTON",AL,EM71go
"""CLOVERDALE",AL,EM64cw
"""COALING",AL,EM63hd
"""CODEN",AL,EM50wj
"""ALABAMA PORT",AL,EM50wj
"""HERON BAY",AL,EM50wj
"""MON LOUIS",AL,EM50wj
"""COFFEE SPRINGS",AL,EM71bd
"""COFFEE SPGS",AL,EM71bd
"""COFFEEVILLE",AL,EM51xs
"""COKER",AL,EM63dg
"""COLLINSVILLE",AL,EM74bg
"""COLUMBIA",AL,EM71kg
"""HALEBURG",AL,EM71kg
"""COLUMBIANA",AL,EM63qe
"""COOK SPRINGS",AL,EM63to
"""COOSADA",AL,EM62ul
"""CORDOVA",AL,EM63js
"""BARNEY",AL,EM63js
"""COTTONDALE",AL,EM63hd
"""COTTONTON",AL,EM72kd
"""HOLY TRINITY",AL,EM72kd
"""FORT MITCHELL",AL,EM72kd
"""COTTONWOOD",AL,EM71ib
"""MADRID",AL,EM71ib
"""COURTLAND",AL,EM64ip
"""N COURTLAND",AL,EM64ip
"""NORTH COURTLAND",AL,EM64ip
"""COWARTS",AL,EM71ie
"""COY",AL,EM61gv
"""CRAGFORD",AL,EM73df
"""MELLOW VALLEY",AL,EM73df
"""CRANE HILL",AL,EM64lb
"""CREOLA",AL,EM60av
"""CROPWELL",AL,EM63tk
"""CROSSVILLE",AL,EM74ag
"""CULLMAN",AL,EM64oe
"""DODGE CITY",AL,EM64oe
"""GOOD HOPE",AL,EM64oe
"""CUSSETA",AL,EM72js
"""DADEVILLE",AL,EM72ct
"""DALEVILLE",AL,EM71dh
"""LEVEL PLAINS",AL,EM71dh
"""CLAYHATCHEE",AL,EM71dh
"""FORT RUCKER",AL,EM71di
"""DANVILLE",AL,EM64kj
"""DAPHNE",AL,EM60bo
"""SPANISH FORT",AL,EM60bq
"""TIMBER CREEK",AL,EM60bq
"""DAUPHIN ISLAND",AL,EM50wg
"""DAUPHIN ISLND",AL,EM50wg
"""DAVISTON",AL,EM73eb
"""NEW SITE",AL,EM73eb
"""DAWSON",AL,EM74ai
"""DE ARMANVILLE",AL,EM73cq
"""DEATSVILLE",AL,EM62to
"""DECATUR",AL,EM64mn
"""MASTER CHARGE",AL,EM64mn
"""DEER PARK",AL,EM51uf
"""HAWTHORNE",AL,EM51uf
"""SEABOARD",AL,EM51uf
"""DELMAR",AL,EM64ee
"""DELTA",AL,EM73dk
"""ABEL",AL,EM73dk
"""CHRISTIANA",AL,EM73dk
"""FISHHEAD",AL,EM73dk
"""DEMOPOLIS",AL,EM62cm
"""DETROIT",AL,EM54wa
"""DIXONS MILLS",AL,EM62db
"""DOCENA",AL,EM63nn
"""DOLOMITE",AL,EM63ml
"""BURNWELL",AL,EM63ko
"""DORA",AL,EM63lr
"""DOTHAN",AL,EM71hf
"""REHOBETH",AL,EM71hf
"""TAYLOR",AL,EM71hf
"""GRIMES",AL,EM71hf
"""HODGESVILLE",AL,EM71hf
"""KELLY SPRINGS",AL,EM71hf
"""KINSEY",AL,EM71hf
"""DOUBLE SPRINGS",AL,EM64hd
"""DOUBLE SPGS",AL,EM64hd
"""DOUGLAS",AL,EM64ue
"""DOZIER",AL,EM61tm
"""DUNCANVILLE",AL,EM63gb
"""DUTTON",AL,EM74bo
"""EASTABOGA",AL,EM73ao
"""ECHOLA",AL,EM63ch
"""ECLECTIC",AL,EM62xp
"""CENTRAL",AL,EM62xp
"""EDWARDSVILLE",AL,EM73gq
"""ELBA",AL,EM61xj
"""ELBERTA",AL,EM60ej
